# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
ying gai inboard a 	應該Inboard阿	c=1 d=0.00035443 t=12980
ying jian 	硬件	c=5 d=0.316637 t=12980
ying jian she bei 	硬件設備	c=1 d=0.000397625 t=12980
ying jian yao qiu 	硬件要求	c=1 d=2.4989e-10 t=12980
ying pan 	硬盤	c=5 d=0.193708 t=12980
ying she 	映射	c=3 d=0.20701 t=12980
ying xiang 	影響	c=6 d=0.0686091 t=12980
ying xiang le 	影响了	c=1 d=5.26468e-12 t=12980
ying yi 	應以	c=1 d=7.17434e-06 t=12980
ying yong 	應用	c=8 d=0.128735 t=12980
yong 	用	c=29 d=0.951481 t=12980
yong bu yong 	用不用	c=1 d=1.24714e-10 t=12980
yong chu 	用處	c=1 d=4.19308e-11 t=12980
yong chu bu da 	用處不大	c=1 d=0.000254808 t=12980
yong dao 	用到	c=0 d=7.63899e-10 t=12980
yong de 	用的	c=2 d=0.00240152 t=12980
yong hu 	用戶	c=11 d=0.197899 t=12980
yong hu ming 	用戶名	c=3 d=6.02357e-08 t=12980
yong jiu 	永久	c=1 d=3.82229e-10 t=12980
yong lai 	用來	c=1 d=1.60938e-10 t=12980
yong li 	用例	c=1 d=1.47442e-09 t=12980
yong li 	用力	c=1 d=1.45975e-09 t=12980
yong tu 	用途	c=4 d=0.278037 t=12980
yong you 	擁有	c=5 d=0.00039082 t=12980
yong yu 	用於	c=4 d=0.449405 t=12980
yong zuo 	用作	c=4 d=0.273898 t=12980
you 	→	c=1 d=2.56792e-07 t=12980
you 	又	c=5 d=0.640215 t=12980
you 	右	c=2 d=0.33595 t=12980
you 	有	c=37 d=2.06934 t=12980
you 	由	c=10 d=0.0997588 t=12980
you cai 	有才	c=1 d=0.00535353 t=12980
you che 	有車	c=1 d=0.177284 t=12980
you de shi 	有的事	c=1 d=3.46751e-11 t=12980
you de shi 	有的是	c=1 d=3.31493e-11 t=12980
you dian 	有電	c=1 d=0.028297 t=12980
you dian 	有點	c=9 d=0.251008 t=12980
you dian man 	有點慢	c=1 d=1.25924e-06 t=12980
you dian wang le 	有點忘了	c=1 d=6.75769e-08 t=12980
you dian wen ti 	有點問題	c=1 d=0.0773047 t=12980
you feng xian 	有風險	c=2 d=4.89359e-05 t=12980
you gan zhi 	有感知	c=1 d=8.72202e-10 t=12980
you ge 	有個	c=4 d=0.891366 t=12980
you guan xi 	有關係	c=2 d=0.019623 t=12980
you guo 	有過	c=1 d=3.46692e-09 t=12980
you ji 	郵寄	c=1 d=1.42691e-06 t=12980
you ji tai 	有幾臺	c=1 d=1.56129e-06 t=12980
you jian 	右鍵	c=2 d=1.14255 t=12980
you jian 	郵件	c=6 d=0.980493 t=12980
you jian gao jing 	郵件告警	c=1 d=0.00324708 t=12980
you jian xi tong 	郵件系統	c=1 d=0.965605 t=12980
you ke neng 	有可能	c=1 d=3.39711e-05 t=12980
you kong 	有空	c=3 d=0.00744384 t=12980
you le 	有了	c=1 d=4.33049e-08 t=12980
you li you 	有理由	c=1 d=5.60089e-05 t=12980
you mei you 	有沒有	c=7 d=0.368165 t=12980
you qi 	尤其	c=1 d=3.88072e-12 t=12980
you ren 	有人	c=2 d=3.14594e-07 t=12980
you sha 	有啥	c=3 d=0.22313 t=12980
you sha yong 	有啥用	c=1 d=2.64657e-09 t=12980
you shen me 	有什麼	c=1 d=0.00369786 t=12980
you shi 	優勢	c=1 d=0.0270518 t=12980
you shi 	又是	c=2 d=0.00042433 t=12980
you ta 	有他	c=0 d=0.0722527 t=12980
you ta de dao li 	有他的道理	c=1 d=0.726149 t=12980
you wei 	有位	c=1 d=0.0596059 t=12980
you wen ti 	有問題	c=3 d=0.621916 t=12980
you xi 	遊戲	c=2 d=0.0453845 t=12980
you xian 	有限	c=1 d=9.17233e-14 t=12980
you xiang 	郵箱	c=2 d=4.02661e-05 t=12980
you xie 	有些	c=4 d=7.88022e-09 t=12980
you yi ci 	有一次	c=1 d=0.0528657 t=12980
you yi yi 	有意義	c=1 d=4.83321e-06 t=12980
you yu 	由於	c=2 d=1.33319e-09 t=12980
you zhe ge 	有這個	c=1 d=0.000267872 t=12980
yu 	於	c=5 d=0.00196945 t=12980
yu 	與	c=16 d=0.0068141 t=12980
yu dao 	遇到	c=2 d=0.346456 t=12980
yu fa 	語法	c=7 d=5.50929e-05 t=12980
yu gong si 	與公司	c=2 d=5.67127e-05 t=12980
yu ji 	預計	c=1 d=7.50711e-10 t=12980
yu lan 	預覽	c=3 d=0.17552 t=12980
yu ming 	域名	c=3 d=5.6213e-06 t=12980
yu qi 	預期	c=2 d=1.64558e-07 t=12980
yu yan 	語言	c=12 d=2.51448e-05 t=12980
yu yan gong neng 	語言功能	c=1 d=0.000207579 t=12980
yu yin 	語音	c=2 d=2.87391e-07 t=12980
yu yong hu 	域用戶	c=1 d=4.76287e-10 t=12980
yu yue 	預約	c=2 d=0.0632918 t=12980
yuan 	源	c=2 d=0.0185375 t=12980
yuan cheng 	遠程	c=17 d=0.66365 t=12980
yuan cheng zhuo mian 	遠程桌面	c=1 d=4.75219e-13 t=12980
yuan di 	原地	c=0 d=4.43092e-14 t=12980
yuan di bao zha 	原地爆炸	c=1 d=4.45313e-13 t=12980
yuan di zhi 	源地址	c=5 d=0.00594711 t=12980
yuan lai 	原來	c=2 d=0.17552 t=12980
yuan ma 	源碼	c=2 d=0.00285124 t=12980
yuan sheng 	原生	c=2 d=0.00186498 t=12980
yuan shi 	原始	c=1 d=2.64612e-07 t=12980
yuan su 	元素	c=16 d=2.50052 t=12980
yuan wen jian 	源文件	c=1 d=5.03046e-06 t=12980
yuan yin 	原因	c=4 d=0.0461896 t=12980
yuan you 	原有	c=4 d=1.4391e-06 t=12980
yuan yu 	源於	c=1 d=3.42298e-06 t=12980
yuan zi 	原子	c=1 d=6.54215e-09 t=12980
yue 	月	c=1 d=0.778801 t=12980
yue 	約	c=1 d=0.202909 t=12980
yue 	越	c=1 d=8.53014e-13 t=12980
yue deng yu 	約等於	c=1 d=3.55408e-07 t=12980
yue di 	月底	c=1 d=0.932394 t=12980
yue du qi 	閱讀器	c=1 d=2.74887e-14 t=12980
yue lun 	月輪	c=2 d=0.242926 t=12980
yue xiang 	越想	c=1 d=8.4876e-13 t=12980
yun 	雲	c=12 d=0.273208 t=12980
yun ping tai 	云平台	c=4 d=0.0843985 t=12980
yun song 	運送	c=1 d=3.65286e-06 t=12980
yun suan 	運算	c=1 d=8.19428e-11 t=12980
yun wei 	運維	c=4 d=0.0155819 t=12980
yun xin 	筠心	c=1 d=2.23784e-06 t=12980
yun xing 	運行	c=12 d=0.479105 t=12980
yun xing zhuang kuang 	運行狀況	c=1 d=3.60031e-12 t=12980
yun xu 	允許	c=1 d=1.03865e-05 t=12980
yun ying shang 	運營商	c=2 d=0.000964214 t=12980
yun yuan sheng 	雲原生	c=1 d=1.01809e-05 t=12980
yun zhuo mian 	雲桌面	c=2 d=0.657349 t=12980
za 	咋	c=6 d=1.26708 t=12980
za ban 	咋辦	c=1 d=0.173402 t=12980
za can jia 	咋參加	c=1 d=2.69958e-07 t=12980
za chuan 	咋傳	c=1 d=0.00104891 t=12980
za di 	咋滴	c=1 d=0.19398 t=12980
za fang wen 	咋訪問	c=1 d=2.31314e-13 t=12980
za geng xin 	咋更新	c=1 d=3.64467e-09 t=12980
za hai 	咋還	c=1 d=2.26071e-08 t=12980
za jiang 	咋講	c=1 d=0.0152222 t=12980
za ke neng 	咋可能	c=1 d=0.00110269 t=12980
za kuo 	咋擴	c=1 d=0.162026 t=12980
za mai 	咋卖	c=1 d=0.00339653 t=12980
za neng 	雜能	c=2 d=0.0739031 t=12980
za nong 	咋弄	c=5 d=0.146607 t=12980
za shuo 	雜說	c=3 d=0.221453 t=12980
za yang 	咋樣	c=2 d=0.070322 t=12980
zai 	再	c=15 d=1.26703 t=12980
zai 	在	c=40 d=1.79571 t=12980
zai ci fa sheng 	再次發生	c=1 d=0.268474 t=12980
zai dan wei 	在單位	c=1 d=0.000302025 t=12980
zai gai 	再改	c=2 d=4.15005e-07 t=12980
zai hao 	再好	c=1 d=0.00198925 t=12980
zai jia 	在家	c=2 d=0.847894 t=12980
zai kai hui 	在開會	c=1 d=1.55429e-12 t=12980
zai kan 	再看	c=1 d=6.49493e-12 t=12980
zai kan xia 	再看下	c=1 d=0.0125254 t=12980
zai na 	在哪	c=2 d=0.000113227 t=12980
zai na 	在那	c=4 d=0.0937425 t=12980
zai na ne 	在那呢	c=1 d=0.00201931 t=12980
zai ne me 	在呢麼	c=1 d=2.09302e-13 t=12980
zai nong 	再弄	c=1 d=0.100761 t=12980
zai qun 	在羣	c=0 d=5.84655e-11 t=12980
zai qun li 	在羣裏	c=1 d=0.0275983 t=12980
zai qun zhong 	在羣中	c=1 d=5.87585e-10 t=12980
zai rang ta men 	再讓他們	c=1 d=0.0108347 t=12980
zai shao wei 	再稍微	c=1 d=2.28935e-09 t=12980
zai shi shi 	再試試	c=2 d=0.155673 t=12980
zai shuo 	再說	c=2 d=1.68464e-12 t=12980
zai wen wen 	再問問	c=1 d=0.618783 t=12980
zai wen xia 	再問下	c=1 d=0.304221 t=12980
zai xi tong 	在系統	c=1 d=3.50295e-13 t=12980
zai xian 	在線	c=2 d=0.00511796 t=12980
zai yu 	在於	c=1 d=2.15046e-08 t=12980
zai zhao 	再找	c=2 d=4.61974e-08 t=12980
zai zhe 	在這	c=2 d=0.000833397 t=12980
zan 	咱	c=5 d=0.0804506 t=12980
zan lia 	咱倆	c=1 d=0.235746 t=12980
zan men 	咱們	c=18 d=0.729789 t=12980
zan shi 	暫時	c=4 d=0.188618 t=12980
zao qu 	早去	c=0 d=5.60089e-06 t=12980
zao qu le 	早去了	c=1 d=5.62896e-05 t=12980
zao shang 	早上	c=7 d=1.79391 t=12980
zao shuo 	早說	c=2 d=0.548812 t=12980
ze 	則	c=4 d=0.0197435 t=12980
ze ge 	則個	c=1 d=0.0103063 t=12980
zei 	賊	c=5 d=0.00869706 t=12980
zen me 	怎麼	c=24 d=1.27229 t=12980
zen me ban 	怎麼辦	c=1 d=0.499074 t=12980
zen me ke neng 	怎麼可能	c=1 d=0.412714 t=12980
zen me neng 	怎麼能	c=1 d=0.115325 t=12980
zen me pei 	怎麼配	c=1 d=3.02807e-05 t=12980
zen me yang 	怎麼樣	c=1 d=4.35294e-10 t=12980
zen me yong 	怎麼用	c=1 d=0.00390694 t=12980
zen me zuo 	怎麼做	c=2 d=2.07858e-06 t=12980
zeng chang 	增長	c=1 d=3.14405e-06 t=12980
zeng jia 	增加	c=3 d=3.12837e-06 t=12980
zeng qiang 	增強	c=1 d=1.33366e-05 t=12980
zha 	閘	c=1 d=2.30638e-08 t=12980
zha ji 	炸雞	c=2 d=0.000563139 t=12980
zha le 	炸了	c=1 d=0.00022941 t=12980
zhan yong 	佔用	c=0 d=4.92063e-12 t=12980
zhang 	張	c=5 d=0.19593 t=12980
zhang hao 	帳號	c=11 d=1.56925 t=12980
zhang lao shi 	張老師	c=2 d=0.904913 t=12980
zhang lei 	張磊	c=5 d=1.38216 t=12980
zhang yi ming 	張一鳴	c=1 d=1.16263e-08 t=12980
zhao 	找	c=9 d=0.0804596 t=12980
zhao 	招	c=1 d=0.224249 t=12980
zhao 	趙	c=4 d=0.0605068 t=12980
zhao chu 	找出	c=1 d=0.0699482 t=12980
zhao dao 	找到	c=5 d=0.477233 t=12980
zhao dao le 	找到了	c=1 d=0.416862 t=12980
zhao de 	找的	c=3 d=0.522046 t=12980
zhao de dao 	找得到	c=1 d=0.414783 t=12980
zhao ge 	找個	c=2 d=6.55737e-09 t=12980
zhao ji 	着急	c=1 d=2.28421e-12 t=12980
zhao lao shi 	趙老師	c=2 d=0.000807431 t=12980
zhao luo 	着落	c=0 d=2.18861e-10 t=12980
zhao luo le 	着落了	c=1 d=2.19958e-09 t=12980
zhao ni 	找你	c=0 d=5.64257e-05 t=12980
zhao ni qu ne 	找你去呢	c=1 d=0.000567086 t=12980
zhao pian 	照片	c=1 d=3.66232e-07 t=12980
zhao wo 	找我	c=2 d=0.000152251 t=12980
zhao zhao 	找找	c=1 d=0.00307331 t=12980
zhe 	這	c=24 d=2.15204 t=12980
zhe bang 	這幫	c=3 d=0.00288295 t=12980
zhe bian 	這邊	c=9 d=0.0140827 t=12980
zhe bu 	這不	c=1 d=0.0190631 t=12980
zhe bu 	這部	c=2 d=0.0104199 t=12980
zhe bu xie zhe 	這部寫着	c=1 d=0.0889216 t=12980
zhe cai shi 	這纔是	c=1 d=0.0229371 t=12980
zhe ci 	這次	c=4 d=3.61266e-05 t=12980
zhe dian 	這點	c=1 d=0.000169951 t=12980
zhe dong xi 	這東西	c=2 d=0.0213864 t=12980
zhe e 	慴愕	c=1 d=9.80532e-05 t=12980
zhe ge 	這個	c=108 d=2.77303 t=12980
zhe gei wo 	這給我	c=1 d=7.97268e-12 t=12980
zhe hao 	摺好	c=0 d=1.12788e-05 t=12980
zhe ji ge 	這幾個	c=2 d=2.58273e-07 t=12980
zhe ji tian 	這幾天	c=1 d=6.53992e-05 t=12980
zhe jiu 	這就	c=2 d=0.465339 t=12980
zhe kan dao 	這看到	c=1 d=3.2825e-13 t=12980
zhe ken ding 	這肯定	c=1 d=0.105399 t=12980
zhe kuan 	這款	c=1 d=0.00167826 t=12980
zhe lao 	這老	c=3 d=0.913931 t=12980
zhe li 	這裏	c=1 d=1.21887e-05 t=12980
zhe liang 	這兩	c=1 d=2.2049e-08 t=12980
zhe liang tai 	這兩臺	c=1 d=1.20736e-11 t=12980
zhe me 	這麼	c=8 d=1.39933 t=12980
zhe ni ma 	這尼瑪	c=3 d=0.0154523 t=12980
zhe shang mian 	這上面	c=1 d=0.591555 t=12980
zhe shi 	這是	c=4 d=2.86914e-05 t=12980
zhe shi ge 	這是個	c=1 d=0.390628 t=12980
zhe shi sha 	這是啥	c=1 d=3.09776e-08 t=12980
zhe shi yao gan sha 	這是要幹啥	c=1 d=1.15384e-07 t=12980
zhe tai ji qi 	這臺機器	c=1 d=2.98502e-13 t=12980
zhe tao 	這套	c=1 d=2.66075e-13 t=12980
zhe wan yi 	這玩意	c=12 d=0.99005 t=12980
zhe wei 	這位	c=1 d=1.34729e-07 t=12980
zhe xia 	這下	c=1 d=2.11333e-09 t=12980
zhe xie 	這些	c=5 d=0.778801 t=12980
zhe yang 	這樣	c=16 d=0.451654 t=12980
zhe yi 	這一	c=0 d=0.0390628 t=12980
zhe yi shuo 	這一說	c=1 d=0.946485 t=12980
zhe yi tian 	這一天	c=1 d=4.85909e-10 t=12980
zhe yi zhou 	這一周	c=1 d=0.392586 t=12980
zhe zhen 	這陣	c=1 d=6.82909e-14 t=12980
zhe zhen zi 	這陣子	c=1 d=6.84094e-05 t=12980
zhe zhong 	這種	c=9 d=0.0587371 t=12980
zhe zhong qing kuang 	這種情況	c=1 d=6.87757e-09 t=12980
zhen 	真	c=5 d=0.898154 t=12980
zhen bu hui 	真不會	c=1 d=2.55598e-11 t=12980
zhen bu shi 	真不是	c=1 d=3.9387e-10 t=12980
zhen chou ren 	真愁人	c=1 d=1.19185e-06 t=12980
zhen da 	真大	c=1 d=6.26833e-06 t=12980
zhen dui 	針對	c=1 d=1.66643e-08 t=12980
zhen e xin 	真噁心	c=1 d=0.000528747 t=12980
zhen hao 	真好	c=2 d=0.00440507 t=12980
zhen keng 	真坑	c=1 d=2.747e-06 t=12980
zhen mei 	真沒	c=0 d=0.00403566 t=12980
zhen mei yi qian 	真沒以前	c=1 d=0.0405589 t=12980
zhen shi 	真實	c=2 d=0.10593 t=12980
zhen zheng 	真正	c=2 d=0.00711891 t=12980
zheng 	掙	c=1 d=6.64328e-13 t=12980
zheng 	整	c=22 d=0.981806 t=12980
zheng bu liao 	整不了	c=1 d=1.20383e-06 t=12980
zheng bu ming bai 	整不明白	c=2 d=0.0184084 t=12980
zheng chang 	正常	c=9 d=0.450133 t=12980
zheng dian 	整點	c=0 d=0.00105672 t=12980
zheng dian dong xi 	整點東西	c=1 d=0.0106202 t=12980
zheng fu 	政府	c=1 d=0.0184074 t=12980
zheng gai 	整改	c=1 d=1.95019e-05 t=12980
zheng ge 	整個	c=3 d=0.0426384 t=12980
zheng gui 	正規	c=0 d=6.34664e-06 t=12980
zheng gui liu cheng 	正規流程	c=1 d=6.37845e-05 t=12980
zheng guo 	整過	c=2 d=0.00766127 t=12980
zheng he 	整合	c=2 d=1.08104e-05 t=12980
zheng huai le 	整壞了	c=1 d=5.09677e-13 t=12980
zheng jiu 	拯救	c=0 d=5.43721e-10 t=12980
zheng jiu le 	拯救了	c=1 d=5.46446e-09 t=12980
zheng li 	整理	c=2 d=0.00316691 t=12980
zheng li hao 	整理好	c=1 d=4.76206e-08 t=12980
zheng liang xia 	整兩下	c=1 d=3.58297e-14 t=12980
zheng mei le 	整沒了	c=1 d=0.519442 t=12980
zheng mian 	正面	c=1 d=5.54705e-09 t=12980
zheng ming bai 	整明白	c=2 d=0.941765 t=12980
zheng que 	正確	c=2 d=0.000762356 t=12980
zheng sha 	整啥	c=1 d=0.000911882 t=12980
zheng shi 	正式	c=2 d=0.000704093 t=12980
zheng shi shang ban 	正式上班	c=1 d=0.000682328 t=12980
zheng shu 	證書	c=2 d=1.9667e-08 t=12980
zheng ti 	整體	c=3 d=1.16893e-05 t=12980
zheng ting nan 	整挺難	c=1 d=6.12835e-05 t=12980
zheng wan le 	整完了	c=2 d=0.913931 t=12980
zheng yi ge 	整一個	c=1 d=3.38189e-11 t=12980
zheng zai 	整在	c=1 d=0.000435072 t=12980
zheng zai 	正在	c=5 d=0.050913 t=12980
zheng zai chong qi 	正在重啓	c=1 d=3.81372e-13 t=12980
zheng zai pai cha 	正在排查	c=1 d=0.0497871 t=12980
zheng zai wen 	正在問	c=1 d=0.000437252 t=12980
zhi 	值	c=8 d=0.31037 t=12980
zhi 	只	c=5 d=1.22548 t=12980
zhi 	指	c=1 d=0.302704 t=12980
zhi 	至	c=0 d=0.0063609 t=12980
zhi bao 	質保	c=1 d=0.110251 t=12980
zhi bo 	直播	c=8 d=0.00176785 t=12980
zhi cheng 	支撐	c=1 d=0.822835 t=12980
zhi chi 	支持	c=10 d=0.413923 t=12980
zhi chi bao 	只吃飽	c=1 d=2.78321e-13 t=12980
zhi chi bao 	支持包	c=2 d=5.66514e-13 t=12980
zhi dao 	知道	c=6 d=1.19549 t=12980
zhi ding 	指定	c=9 d=0.122523 t=12980
zhi hou 	之後	c=4 d=0.564945 t=12980
zhi hu 	Zhihu	c=1 d=6.16012e-07 t=12980
zhi jia 	支架	c=1 d=0.375311 t=12980
zhi jian 	之間	c=3 d=1.3716e-05 t=12980
zhi jie 	直接	c=25 d=1.24392 t=12980
zhi jie eh 	直接誒	c=1 d=0.00229965 t=12980
zhi liang 	質量	c=1 d=3.72856e-12 t=12980
zhi lu 	之路	c=1 d=9.73786e-12 t=12980
zhi ming 	知名	c=1 d=2.74084e-09 t=12980
zhi neng 	只能	c=6 d=0.174755 t=12980
zhi pei 	只配	c=1 d=4.24474e-08 t=12980
zhi qian 	之前	c=23 d=1.05226 t=12980
zhi qing 	之情	c=0 d=0.026982 t=12980
zhi shang 	之上	c=2 d=0.000347464 t=12980
zhi shi 	只是	c=3 d=1.15943e-05 t=12980
zhi shi 	知識	c=1 d=0.814647 t=12980
zhi tong 	直通	c=3 d=4.14983e-10 t=12980
zhi wai 	之外	c=1 d=7.67467e-05 t=12980
zhi xiang 	指向	c=1 d=0.158216 t=12980
zhi xiang le 	指向了	c=1 d=0.131336 t=12980
zhi xing 	執行	c=4 d=0.0956559 t=12980
zhi xu yao 	只需要	c=3 d=1.38116e-05 t=12980
zhi yao 	只要	c=3 d=1.88021e-07 t=12980
zhi yu 	至於	c=1 d=6.84444e-11 t=12980
zhi yun xu 	只允許	c=1 d=4.32005e-09 t=12980
zhi zai 	旨在	c=1 d=1.52668e-07 t=12980
zhi zhen 	指針	c=1 d=0.315058 t=12980
zhong 	中	c=38 d=0.848298 t=12980
zhong 	仲	c=11 d=0.0107807 t=12980
zhong 	種	c=1 d=5.53179e-06 t=12980
zhong 	衆	c=2 d=1.23726e-11 t=12980
zhong cai 	仲裁	c=1 d=0.0306538 t=12980
zhong de 	中的	c=0 d=1.60081e-07 t=12980
zhong du 	中毒	c=2 d=6.62906e-09 t=12980
zhong duan 	中斷	c=2 d=0.0338776 t=12980
zhong wen 	中文	c=9 d=0.312301 t=12980
zhong xin 	中心	c=4 d=3.82068e-07 t=12980
zhong xin si xiang 	中心思想	c=1 d=0.170333 t=12980
zhong yao 	重要	c=1 d=1.13647e-05 t=12980
zhou 	周	c=0 d=0.0390628 t=12980
zhou bao 	週報	c=1 d=0.00232276 t=12980
zhou mo 	週末	c=1 d=4.17146e-09 t=12980
zhou qi 	週期	c=1 d=2.52444e-12 t=12980
zhou san 	週三	c=1 d=8.33681e-08 t=12980
zhou yi 	週一	c=2 d=1.86437e-05 t=12980
zhu 	豬	c=1 d=1.80522e-08 t=12980
zhu ce 	註冊	c=1 d=3.10631e-11 t=12980
zhu ce ji 	註冊機	c=2 d=0.00225411 t=12980
zhu chang 	駐場	c=1 d=0.261846 t=12980
zhu chi ren 	主持人	c=1 d=0.000157671 t=12980
zhu dong 	主動	c=1 d=8.78693e-09 t=12980
zhu ji 	主機	c=3 d=0.680451 t=12980
zhu ji ming 	主機名	c=1 d=3.02128e-08 t=12980
zhu jian 	逐漸	c=2 d=3.11276e-06 t=12980
zhu ping mu 	主屏幕	c=1 d=0.000134358 t=12980
zhu ren 	主任	c=1 d=7.67598e-07 t=12980
zhu shi 	註釋	c=1 d=0.125556 t=12980
zhu ti 	主題	c=4 d=1.49217 t=12980
zhu ti 	主體	c=3 d=0.000277595 t=12980
zhu ti 	豬蹄	c=3 d=0.000274944 t=12980
zhu yao 	主要	c=15 d=1.22099 t=12980
zhu yao shi 	主要是	c=9 d=0.93084 t=12980
zhu yi 	注意	c=1 d=0.514274 t=12980
zhu zhi 	住址	c=2 d=2.07512e-13 t=12980
zhua bao 	抓包	c=1 d=1.77834e-08 t=12980
zhua bu 	抓捕	c=0 d=0.00816756 t=12980
zhua bu dao ni 	抓捕到你	c=1 d=0.082085 t=12980
zhua dian jin 	抓點緊	c=1 d=0.19205 t=12980
zhua jin 	抓緊	c=6 d=0.0421052 t=12980
zhuan chu 	转储	c=4 d=0.000355467 t=12980
zhuan hang 	轉行	c=0 d=0.0213583 t=12980
zhuan hang ba 	轉行吧	c=1 d=0.214381 t=12980
zhuan hang le 	轉行了	c=1 d=0.000273284 t=12980
zhuan men 	專門	c=2 d=0.000101039 t=12980
zhuan wang 	專網	c=1 d=4.85826e-08 t=12980
zhuan xing 	轉型	c=2 d=0.790172 t=12980
zhuan ye 	專業	c=1 d=0.00423234 t=12980
zhuan yi 	轉移	c=1 d=0.103312 t=12980
zhuan yi 	轉義	c=1 d=0.10383 t=12980
zhuan zhi 	專職	c=1 d=0.0147723 t=12980
zhuang 	裝	c=11 d=1.45684 t=12980
zhuang bei 	裝備	c=1 d=0.00301245 t=12980
zhuang ge 	壯歌	c=1 d=2.58035e-05 t=12980
zhuang ge 	装个	c=1 d=2.59329e-05 t=12980
zhuang guo 	裝過	c=2 d=0.0558548 t=12980
zhuang hao 	裝好	c=0 d=4.66777e-09 t=12980
zhuang hao xi tong 	裝好系統	c=1 d=4.69116e-08 t=12980
zhuang tai 	狀態	c=6 d=0.285261 t=12980
zhuang tai zhong 	狀態中	c=1 d=0.00414854 t=12980
zhuang xi tong 	裝系統	c=4 d=0.408608 t=12980
zhui jia 	追加	c=2 d=0.333096 t=12980
zhui qiu 	追求	c=1 d=1.76977e-10 t=12980
zhun bei 	準備	c=13 d=0.497728 t=12980
zhun bei hao le 	準備好了	c=1 d=2.13457e-09 t=12980
zhuo mian 	桌面	c=3 d=0.206748 t=12980
zi 	子	c=1 d=2.66582e-06 t=12980
zi 	字	c=1 d=1.70391e-05 t=12980
zi chan 	資產	c=1 d=8.48471e-09 t=12980
zi chan gong si 	資產公司	c=1 d=3.16852e-09 t=12980
zi ding yi 	自定義	c=3 d=1.28552e-05 t=12980
zi dong 	自動	c=4 d=8.85657e-06 t=12980
zi fu 	字符	c=1 d=3.69208e-14 t=12980
zi fu ji 	字符集	c=1 d=0.647265 t=12980
zi ji 	自己	c=9 d=0.798516 t=12980
zi liao 	資料	c=1 d=0.00315111 t=12980
zi mian 	字面	c=1 d=4.56353e-07 t=12980
zi mo kuai 	子模塊	c=3 d=6.47675e-06 t=12980
zi mu 	字母	c=2 d=0.000218397 t=12980
zi ti 	字體	c=3 d=0.154942 t=12980
zi yuan 	資源	c=63 d=0.980199 t=12980
zi yuan chi 	资源池	c=4 d=0.0625136 t=12980
zi yuan kuai 	資源塊	c=1 d=0.0042963 t=12980
zi yuan lei xing 	資源類型	c=1 d=0.000197455 t=12980
zi yuan zhan yong 	資源佔用	c=1 d=4.94529e-11 t=12980
zong 	總	c=5 d=0.265763 t=12980
zong duan kou 	總端口	c=1 d=2.1939e-08 t=12980
zong he bu 	综合部	c=1 d=0.0111966 t=12980
zong he bu jing li 	综合部經理	c=1 d=0.0115047 t=12980
zou 	揍	c=1 d=1.5383e-08 t=12980
zou 	走	c=2 d=0.321541 t=12980
zou bu le 	走不了	c=1 d=0.66365 t=12980
zou dao 	走到	c=1 d=0.255381 t=12980
zou ge 	走個	c=2 d=5.33314e-09 t=12980
zu 	組	c=2 d=0.856415 t=12980
zu cheng 	組成	c=2 d=4.28667e-06 t=12980
zu gou 	足夠	c=1 d=1.53089e-10 t=12980
zu he 	組合	c=2 d=1.10161e-05 t=12980
zu jian 	組件	c=1 d=1.26861e-05 t=12980
zu wang 	組網	c=1 d=0.280832 t=12980
zu you 	足有	c=1 d=2.9763e-08 t=12980
zu zhi 	組織	c=2 d=8.42051e-06 t=12980
zu zhi jia gou 	組織架構	c=2 d=8.92575e-09 t=12980
zui 	最	c=1 d=0.000154158 t=12980
zui hao 	最好	c=1 d=0.694197 t=12980
zui he shi 	最合適	c=1 d=0.00708341 t=12980
zui hou 	最後	c=4 d=0.0380091 t=12980
zui jia 	最佳	c=1 d=8.61441e-11 t=12980
zui jian dan 	最簡單	c=1 d=2.84485e-06 t=12980
zui jin 	最近	c=4 d=0.00904991 t=12980
zui pian yi 	最便宜	c=1 d=0.00154923 t=12980
zui qi ma 	最起碼	c=3 d=0.00145182 t=12980
zui xiao 	最小	c=1 d=4.05727e-06 t=12980
zuo 	做	c=6 d=0.301251 t=12980
zuo 	左	c=3 d=0.375002 t=12980
zuo bi you kai 	左閉右開	c=1 d=0.105928 t=12980
zuo bu le 	做不了	c=1 d=0.00121259 t=12980
zuo de 	做的	c=1 d=0.0919091 t=12980
zuo de hai bu gou 	做的還不夠	c=1 d=0.923116 t=12980
zuo de hao 	做得好	c=1 d=4.78838e-14 t=12980
zuo dian shi 	做點事	c=1 d=0.697676 t=12980
zuo le 	做了	c=1 d=7.05048e-07 t=12980
zuo mei zuo 	做沒做	c=1 d=0.179964 t=12980
zuo shen me 	做什麼	c=1 d=2.96146e-08 t=12980
zuo shi 	做事	c=1 d=0.806541 t=12980
zuo tian 	昨天	c=8 d=0.0156185 t=12980
zuo tong 	作痛	c=1 d=0.891366 t=12980
zuo wan 	昨晚	c=1 d=0.000590229 t=12980
zuo wei 	作爲	c=1 d=0.0043831 t=12980
zuo yong 	作用	c=1 d=0.895834 t=12980
